Aaptos aaptos (Schmidt, 1864) (meatball sponge)
Abbreviata abbreviata (Rudolphi, 1819) (nematode)
Acanthogyrus acanthogyrus Thapar, 1927 (acanthocephalan)
Achatina achatina (L., 1758) (giant Ghana snail)
Achirus achirus (L., 1758) (drab sole)
Aecas aecas Stoll, 1781 (skipper, hesperiid butterfly)
Aega aega Leach, 1815 (isopod)
Agagus agagus Jousseaume, 1894 (sea snail)
Agama agama (L., 1758) (agama)
Ahaetulla ahaetulla Smith 1943 (Andaman bronzeback snake) synonym for Dendrelaphis andamanensis (Anderson, 1871)
Alburnus alburnus (L., 1758) (bleak)
Alces alces (L., 1758) (moose)
Alle alle (L., 1758) (dovekie)
Allo allo Jousseaume 1934 (raphitomid sea snail) syn. for Taranis allo (Jousseaume, 1934)
Alosa alosa (L., 1758) (European shad)
Amandava amandava (L., 1758) (red avadavat)
Amazilia amazilia (Lesson, 1827) (amazilia hummingbird)
Ameiva ameiva (L., 1758) (giant whiptail)
Anableps anableps (L., 1758) (four-eyed fish)
Anatina anatina (Spengler, 1802) (smooth duck clam)
Anchoradiscus anchoradiscus Mizelle, 1941? (trematode)
Anguilla anguilla (L., 1758) (European eel)
Anhinga anhinga (L., 1766) (anhinga)
Anoa anoa (anoa) syn. for Bubalus depressicornis (H. Smith, 1827)
Anostomus anostomus (L., 1758) (fish)
Anser anser (L., 1758) (greylag goose)
Anthias anthias (L., 1758) (swallowtail sea perch)
Anthrax anthrax (Schrank, 1781) (bee fly)
Appia appia Evans, 1955 (skipper)
Apus apus (L., 1758) (common swift)
Archigyrodactylus archigyrodactylus Mizelle & Kritsky, 1967 (tapeworm)
Arcinella arcinella (L., 1758) (spiny jewel box clam)
Argyrozona argyrozona (Valenciennes, 1830) (carpenter sea bream)
Ariadne ariadne L., 1763 (angled castor butterfly)
Aristyllis aristyllis Kirkaldy, 1906 (achilid leafhopper)
Arita arita Schaus, 1902 (yellow-bellied skipper)
Arius arius (Hamilton, 1822) (threadfin sea catfish)
Aroma aroma Hewitson, 1867 (aroma skipper)
Aspitha aspitha Hewitson, 1866 (skipper)
Aspius aspius (L. 1758) (asp (fish)) syn. for Leuciscus aspius (L., 1758)
Aspredo aspredo (L., 1758) (slender banjo catfish)
Astacus astacus (L., 1758) (European crayfish)
Aulica aulica Solander (aulica volute shell)
Avicularia avicularia (L., 1758) (pinktoe tarantula)
Axis axis (Erxleben, 1777) (chital deer)
Badis badis (Hamilton, 1822) (blue perch)
Baeotus baeotus Doubleday, [1849] (graphic beauty butterfly)
Bagarius bagarius (Hamilton, 1822) (devil catfish)
Bagre bagre (L., 1766) (coco sea catfish)
Balanus balanus (L., 1758) (rough barnacle)
Banjos banjos (Richardson, 1846) (banjofish)
Banta banta Evans, 1949 (skipper)
Barbatula barbatula (L., 1758) (stone loach)
Barbus barbus (L., 1758) (barbel)
Basiliscus basiliscus (L., 1758) (basilisk lizard)
Batasio batasio (Hamilton, 1822) (a catfish)
Beckianum beckianum (Pfeiffer, 1846) (terrestrial snail)
Belobranchus belobranchus (Valenciennes, 1837) (throat-spined gudgeon)
Belone belone (L., 1761) (garfish)
Belonimorphis belonimorphis Jay & Drivas, 2002 (a mollusc)
Bidyanus bidyanus (Mitchell, 1838) (silver perch)
Bison bison (L., 1758) (bison)
Bodianus bodianus Bloch 1790 (Spanish hogfish) syn. for B. rufus (L., 1758)
Bombina bombina (L., 1761) (European fire-bellied toad)
Boops boops (L., 1758) (bogue, a seabream)
Brama brama (Bonnaterre, 1788) (Atlantic pomfret)
Brissus brissus (Leske 1778) (groove burrowing sea urchin) syn. for B. unicolor (Leske, 1778)
Brosme brosme (Ascanius, 1772) (cusk)
Bruna bruna Evans, 1955 (skipper)
Bubo bubo (L., 1758) (eagle-owl)
Bucayana bucayana Mello-Leitao, 1942 (harvestman)
Bufo bufo (L., 1758) (common toad)
Buteo buteo (L., 1758) (common buzzard)
Butis butis (Hamilton, 1822) (duckbill sleeper)
Calamus calamus (Valenciennes, 1830) (saucereye porgy)
Calappa calappa (L., 1758) (giant box crab)
Caleta caleta (Hewitson, [1876]) (angled pierrot butterfly)
Callichthys callichthys (L., 1758) (armored catfish)
Calotes calotes (L., 1758) (common green forest lizard)
Capoeta capoeta (Guldenstadt, 1773) (cyprinid fish)
Capreolus capreolus (L., 1758) (roe deer)
Caracal caracal (Schreber, 1776) (caracal)
Carassius carassius (L., 1758) (crucian carp)
Cardinalis cardinalis (L., 1758) (cardinal)
Carduelis carduelis (L., 1758) (European goldfinch)
Caretta caretta (L., 1758) (loggerhead turtle)
Casuarius casuarius (L., 1758) (southern cassowary)
Catla catla (Hamilton 1822) (Indian carp) syn. for Gibelion catla (Hamilton, 1822)
Catostomus catostomus (Forster, 1773) (longnose sucker)
Cedusa cedusa Mc Atee, 1924 (derbid planthopper)
Cephea cephea (Forskal, 1775) (scyphozoan: crowned jellyfish)
